id,name,position,team
15952,Mike Gillislee,[u'RB'],NE
13284,Sean Lee,[u'LB'],Dal
17827,Sterling Shepard,[u'WR'],NYG
12731,Ryan Succop,[u'K'],Ten
18078,Robert Kelley,[u'RB'],Wsh
13983,A.J. Green,[u'WR'],Cin
16762,Preston Brown,[u'LB'],Buf
17750,Cameron Meredith,[u'WR'],Chi
15855,Christine Michael,[u'RB'],Ind
14023,Mason Foster,[u'LB'],Wsh
2622,Steve Smith Sr.,[u'WR'],Bal
15966,Chris Thompson,[u'RB'],Wsh
16727,Ryan Shazier,[u'LB'],Pit
15072,Marvin Jones,[u'WR'],Det
15819,Kiko Alonso,[u'LB'],Mia
17806,Keanu Neal,[u'S'],Atl
17169,Chandler Catanzaro,[u'K'],NYJ
17784,Cameron Brate,[u'TE'],TB
13340,Kurt Coleman,[u'S'],Car
15246,Vontaze Burfict,[u'LB'],Cin
17611,Ty Montgomery,[u'RB'],GB
17676,Stefon Diggs,[u'WR'],Min
17758,Quincy Enunwa,[u'WR'],NYJ
15349,Cole Beasley,[u'WR'],Dal
9793,Antoine Bethea,[u'S'],Ari
13264,Morgan Burnett,[u'S'],GB
15807,Cordarrelle Patterson,[u'WR'],Oak
11295,Martellus Bennett,[u'TE'],GB
17175,Chris Boswell,[u'K'],Pit
17908,Devontae Booker,[u'RB'],Den
15861,Logan Ryan,[u'CB'],Ten
14966,Casey Hayward,[u'CB'],LAC
15168,Case Keenum,[u'QB'],Min
10621,Nick Folk,[u'K'],TB
10913,Brent Grimes,[u'CB'],TB
15075,Nigel Bradham,[u'LB'],Phi
16195,Tony Jefferson,[u'S'],Bal
17664,Markus Golden,"[u'LB', u'EDR']",Ari
13252,Eric Berry,[u'S'],KC
17514,J.J. Nelson,[u'WR'],Ari
14938,Luke Kuechly,[u'LB'],Car
14214,Malcolm Smith,[u'LB'],SF
17136,Dontrelle Inman,[u'WR'],LAC
15994,Theo Riddick,[u'RB'],Det
17680,Danielle Hunter,"[u'DE', u'EDR']",Min
13304,T.J. Ward,[u'S'],Den
14860,Craig Robertson,[u'LB'],NO
17494,Jordan Hicks,[u'LB'],Phi
11383,Tim Hightower,[u'RB'],SF
14926,Melvin Ingram,"[u'LB', u'DE', u'EDR']",LAC
16782,Jerick McKinnon,[u'RB'],Min
15835,Zach Ertz,[u'TE'],Phi
10481,Eric Weddle,[u'S'],Bal
16269,Bradley McDougald,[u'S'],Sea
4512,Anquan Boldin,[u'WR'],Buf
14927,Chandler Jones,"[u'LB', u'EDR']",Ari
5558,Karlos Dansby,[u'LB'],Ari
11533,Jerrell Freeman,[u'LB'],Chi
17658,Duke Johnson Jr.,[u'RB'],Cle
17177,Taylor Gabriel,[u'WR'],Atl
9705,Brandon Marshall,[u'WR'],NYG
11284,Calais Campbell,"[u'DT', u'EDR']",Jax
12503,Rashad Jennings,[u'RB'],NYG
17756,Adam Humphries,[u'WR'],TB
15222,Rodney McLeod,[u'S'],Phi
17229,Bashaud Breeland,[u'CB'],Wsh
17809,Will Fuller V,[u'WR'],Hou
16913,James White,[u'RB'],NE
13274,Carlos Dunlap,"[u'DE', u'EDR']",Cin
15124,Josh Norman,[u'CB'],Wsh
17254,Avery Williamson,[u'LB'],Ten
15860,Jordan Reed,[u'TE'],Wsh
14360,Matt Asiata,[u'RB'],Det
13256,Jason Pierre-Paul,"[u'DE', u'EDR']",NYG
17319,Malcolm Butler,[u'CB'],NE
11250,Dominique Rodgers-Cromartie,[u'CB'],NYG
16735,Ha Ha Clinton-Dix,[u'S'],GB
17479,Byron Jones,[u'S'],Dal
17936,Jatavis Brown,[u'LB'],LAC
14151,Jeremy Kerley,[u'WR'],SF
11688,Dan Carpenter,[u'K'],Buf
15888,Marcus Cooper,[u'CB'],Chi
17593,DeVante Parker,[u'WR'],Mia
14946,Bruce Irvin,"[u'LB', u'EDR']",Oak
16763,Jordan Matthews,[u'WR'],Buf
12426,Malcolm Jenkins,[u'S'],Phi
16720,C.J. Mosley,[u'LB'],Bal
17264,Will Compton,[u'LB'],Wsh
17843,Roberto Aguayo,[u'K'],Chi
14053,Randall Cobb,[u'WR'],GB
13045,Jonathan Casillas,[u'LB'],NYG
8430,Derrick Johnson,[u'LB'],KC
1440,Phil Dawson,[u'K'],Ari
13226,Andre Roberts,[u'WR'],Atl
8461,Mike Nugent,[u'K'],NYG
14929,Nick Perry,"[u'LB', u'EDR']",GB
14912,Alshon Jeffery,[u'WR'],Phi
10611,Corey Graham,[u'S'],Phi
15419,DeShawn Shead,[u'CB'],Sea
15817,Robert Alford,[u'CB'],Atl
17326,Daniel Sorensen,[u'S'],KC
17798,Jalen Ramsey,[u'CB'],Jax
17859,Daryl Worley,[u'CB'],Car
5362,Antonio Gates,[u'TE'],LAC
14974,Janoris Jenkins,[u'CB'],NYG
14977,Tavon Wilson,[u'S'],Det
15062,Travis Benjamin,[u'WR'],LAC
17822,Hunter Henry,[u'TE'],LAC
11326,Cliff Avril,"[u'DE', u'EDR']",Sea
17802,Vernon Hargreaves III,[u'CB'],TB
15977,Gerald Hodges,[u'LB'],Buf
17633,Marcus Peters,[u'CB'],KC
12439,Brian Orakpo,"[u'LB', u'EDR']",Ten
14958,Demario Davis,[u'LB'],NYJ
13236,Devin McCourty,[u'S'],NE
14402,Chris Hogan,[u'WR'],NE
17832,Derrick Henry,[u'RB'],Ten
10465,Reggie Nelson,[u'S'],Oak
12417,Cameron Wake,"[u'DE', u'EDR']",Mia
14945,Harrison Smith,[u'S'],Min
14982,Olivier Vernon,"[u'DE', u'EDR']",NYG
14993,Greg Zuerlein,[u'K'],LAR
13971,Cameron Jordan,"[u'DE', u'EDR']",NO
15865,D.J. Swearinger,[u'S'],Wsh
17845,Vonn Bell,[u'S'],NO
14922,Mohamed Sanu,[u'WR'],Atl
13373,Everson Griffen,"[u'DE', u'EDR']",Min
14471,Nick Bellore,[u'LB'],Det
15820,David Amerson,[u'CB'],Oak
17394,Todd Davis,[u'LB'],Den
17747,Andrew Franks,[u'K'],Mia
11401,Erik Walden,[u'LB'],Ten
12691,Jason McCourty,[u'CB'],Cle
16504,Jack Doyle,[u'TE'],Ind
14900,Coby Fleener,[u'TE'],NO
11737,Connor Barth,[u'K'],Chi
17678,T.J. Yeldon,[u'RB'],Jax
13336,Kam Chancellor,[u'S'],Sea
14133,Byron Maxwell,[u'CB'],Mia
15810,Xavier Rhodes,[u'CB'],Min
15877,Shawn Williams,[u'S'],Cin
13338,Barry Church,[u'S'],Jax
17173,Cody Parkey,[u'K'],Cle
17710,Steven Nelson,[u'CB'],KC
5893,Mike Adams,[u'S'],Car
15856,Kevin Minter,[u'LB'],Cin
17813,Artie Burns,[u'CB'],Pit
13234,Ndamukong Suh,[u'DT'],Mia
14398,Chris Harris Jr.,[u'CB'],Den
16040,C.J. Anderson,[u'RB'],Den
16562,A.J. Bouye,[u'CB'],Jax
16716,Aaron Donald,[u'DT'],LAR
15826,Giovani Bernard,[u'RB'],Cin
4527,Jason Witten,[u'TE'],Dal
17669,Leonard Williams,[u'DT'],NYJ
17764,Ricardo Allen,[u'S'],Atl
16723,Deone Bucannon,[u'LB'],Ari
17799,DeForest Buckner,[u'DT'],SF
14518,Shaun Draughn,[u'RB'],NYG
15960,Micah Hyde,[u'S'],Buf
14894,Robert Turbin,[u'RB'],Ind
15380,Damon Harrison,[u'DT'],NYG
14016,Chris Conte,[u'S'],TB
14984,Akiem Hicks,[u'DT'],Chi
16732,Eric Ebron,[u'TE'],Det
10491,David Harris,[u'LB'],NE
12619,Mike Mitchell,[u'S'],Pit
13281,Linval Joseph,[u'DT'],Min
15813,Kenny Vaccaro,[u'S'],NO
13231,Dennis Pitta,[u'TE'],Bal
12527,Patrick Chung,[u'S'],NE
8421,Adam Jones,[u'CB'],Cin
13645,Darian Stewart,[u'S'],Den
14297,Ron Parker,[u'S'],KC
17620,Shane Ray,"[u'LB', u'EDR']",Den
18037,Eli Rogers,[u'WR'],Pit
9613,DeAngelo Williams,[u'RB'],Pit
13766,Vincent Rey,[u'LB'],Cin
14936,Whitney Mercilus,"[u'LB', u'EDR']",Hou
17506,Tony Lippett,[u'CB'],Mia
17576,Frank Clark,"[u'DE', u'EDR']",Sea
17654,Ronald Darby,[u'CB'],Phi
18011,Harold Jones-Quartey,[u'S'],Chi
10138,Ahmad Brooks,"[u'DE', u'LB', u'EDR']",SF
13973,Ryan Kerrigan,"[u'DE', u'EDR']",Wsh
14466,Isa Abdul-Quddus,[u'S'],Mia
